id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
1,Dr. Sreedhara Panicker Somanath,Chairman,Indian Space Research Organisation,C-Suite,DeepTech/AI,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
2,Shri Amitabh Kant,G20 Sherpa,Government of India,VP/Director,Government,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
3,Ronnie Screwvala,"Co-founder,  & Swades Foundation",upGrad,C-Suite,Edtech,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
4,Bhavish Aggarwal,Founder,Ola,C-Suite,Mobility,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
5,Dr. Rohini Srivathsa,"CTO,  India and South Asia",Microsoft,C-Suite,DeepTech/AI,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
6,Anil Agrawal,Member,Competition Commission of India,Manager/IC,Government,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
7,Mabel Chacko,Co-founder & COO,Open Financial Technologies,C-Suite,Fintech,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
8,Ashutosh Sharma,"Head of Growth Investments, India & Asia",Prosus Ventures,VP/Director,VC/PE,3,scraped_techsparks2024,,,,,,,,,,pending,FALSE
9,Mukul Arora,Co-Managing Partner,Elevation Capital,VP/Director,VC/PE,3,scraped_techsparks2024,,,,,,,,,,pending,FALSE
10,Nithin Kamath,"Founder & CEO,  & Rainmatter",Zerodha,C-Suite,Fintech,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
11,Naveen Tewari,"Founder & CEO,  Group",InMobi,C-Suite,SaaS/B2B,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
12,Rahul Chari,Founder & CTO,PhonePe,C-Suite,Fintech,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
13,Lalit Keshre,Co-founder & CEO,Groww,C-Suite,Fintech,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
14,Kunal Bahl,"Co-founder,  & Titan Capital",Snapdeal,C-Suite,D2C/Ecomm,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
15,Vishal Dhupar,"Managing Director, Asia South",NVIDIA,C-Suite,DeepTech/AI,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
16,Ananth Narayanan,Founder & CEO,Mensa Brands,C-Suite,D2C/Ecomm,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
17,Shashank Kumar,Managing Director and Co-founder,Razorpay,C-Suite,Fintech,5,scraped_techsparks2024,,,,,,,,,,pending,FALSE
18,Siddarth Pai,"Founding Partner, Chief Financial Officer & ESG Officer",3one4 Capital,C-Suite,VC/PE,4,scraped_techsparks2024,,,,,,,,,,pending,FALSE
19,"Dr. Sreedhara Panicker SomanathChairman, Indian Space Research Organisation",Dr. Sreedhara Panicker Somanath,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
20,"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
21,"Subbu IyerFounder & CEO, Giggr Technologies",Subbu Iyer,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
22,"Sharad SanghiFounder & CEO, Neysa",Sharad Sanghi,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
23,"Nithin KamathFounder & CEO, Zerodha & Rainmatter",Nithin Kamath,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
24,"Anshul KhemukaPartner, Khaitan & Co",Anshul Khemuka,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
25,"Dr. Tapan SahooExecutive Officer, Head of Digital Enterprise, Maruti Suzuki India Limited",Dr. Tapan Sahoo,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
26,"Lalit KeshreCo-founder & CEO, Groww",Lalit Keshre,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
27,"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
28,"Dr. Rohini SrivathsaCTO, Microsoft India and South Asia",Dr. Rohini Srivathsa,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
29,"Srikanth IyerCo-founder & CEO, Homelane",Srikanth Iyer,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
30,"Enbasekar DCo-founder & CTO, MediBuddy",Enbasekar D,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
31,"Ranjan CrastaConsulting Editor, The Captable",Ranjan Crasta,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
32,"Tanuj ChoudhryCo-founder & COO, Homelane",Tanuj Choudhry,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
33,"Prasid BanerjeeSenior Account Director, Thought Leadership Advisory, Adfactors PR",Prasid Banerjee,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
34,"Shashi KumarFounder & CEO, Akshayakalpa Organic",Shashi Kumar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
35,"Siddarth PaiFounding Partner, Chief Financial Officer & ESG Officer, 3one4 Capital",Siddarth Pai,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
36,"Shanti MohanCo-founder & CEO, LetsVenture & trica",Shanti Mohan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
37,"Aditya SoniFounder & CEO, CheQ",Aditya Soni,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
38,"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
39,"Rahul ChariFounder & CTO, PhonePe",Rahul Chari,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
40,"Ujjwal JainCEO, Share.Market",Ujjwal Jain,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
41,"Sonika ChandraChief Business Officer - Consumer Payments, PhonePe",Sonika Chandra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
42,"Hemant GalaCEO, PhonePe Lending",Hemant Gala,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
43,"Vivek LochebCEO, Pincode",Vivek Locheb,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
44,"Sanjay Srikanth NekkantiCo-founder & CEO, Dhruva Space",Sanjay Srikanth Nekkanti,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
45,"Payal  GangulyManaging Editor, YourStory",Payal  Ganguly,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
